brazil,congo_forest,day,month,year,brz.veg.index
7260,950,15a,8,2002,0.726
8470,900,15b,8,2002,0.847
7940,880,15a,9,2002,0.794
8540,870,15b,9,2002,0.854
8560,820,15a,10,2002,0.856
8240,640,15b,10,2002,0.824
7860,840,15a,11,2002,0.786
8120,710,15b,11,2002,0.812
7040,640,15a,12,2002,0.704
8090,680,15b,12,2002,0.809
6702,560,15a,1,2003,0.6702
8020,690,15b,1,2003,0.802
6290,640,15a,2,2003,0.629
5700,640,15b,2,2003,0.57
4060,780,15a,3,2003,0.406
4860,760,15b,3,2003,0.486
3920,870,15a,4,2003,0.392
3430,920,15b,4,2003,0.343
2972,920,15a,5,2003,0.2972
5010,860,15b,5,2003,0.501
6120,830,15a,6,2003,0.612
5960,880,15b,6,2003,0.596
5140,870,15a,7,2003,0.514
6270,790,15b,7,2003,0.627
7280,980,15a,8,2003,0.728
7020,750,15b,8,2003,0.702
8200,790,15a,9,2003,0.82
8650,760,15b,9,2003,0.865
7760,720,15a,10,2003,0.776
8380,900,15b,10,2003,0.838
8220,750,15a,11,2003,0.822
6542,820,15b,11,2003,0.6542
7900,710,15a,12,2003,0.79
7750,710,15b,12,2003,0.775
6972,600,15a,1,2004,0.6972
7900,710,15b,1,2004,0.79
4432,780,15a,2,2004,0.4432
4870,680,15b,2,2004,0.487
6000,880,15a,3,2004,0.6
5930,990,15b,3,2004,0.593
2732,890,15a,4,2004,0.2732
4330,940,15b,4,2004,0.433
4590,840,15a,5,2004,0.459
3842,920,15b,5,2004,0.3842
4232,950,15a,6,2004,0.4232
6240,890,15b,6,2004,0.624
4712,860,15a,7,2004,0.4712
6630,730,15b,7,2004,0.663
6720,820,15a,8,2004,0.672
7870,750,15b,8,2004,0.787
8010,650,15a,9,2004,0.801
7780,640,15b,9,2004,0.778
8430,670,15a,10,2004,0.843
8170,640,15b,10,2004,0.817
7830,530,15a,11,2004,0.783
8320,550,15b,11,2004,0.832
8140,640,15a,12,2004,0.814
8140,670,15b,12,2004,0.814
8240,590,15a,1,2005,0.824
6860,730,15b,1,2005,0.686
6820,710,15a,2,2005,0.682
5484,800,15b,2,2005,0.5484
4110,800,15a,3,2005,0.411
3792,800,15b,3,2005,0.3792
5870,950,15a,4,2005,0.587
6020,1010,15b,4,2005,0.602
3772,870,15a,5,2005,0.3772
3492,770,15b,5,2005,0.3492
3790,730,15a,6,2005,0.379
4810,840,15b,6,2005,0.481
6870,920,15a,7,2005,0.687
7230,810,15b,7,2005,0.723
6592,640,15a,8,2005,0.6592
8030,610,15b,8,2005,0.803
8040,490,15a,9,2005,0.804
8360,680,15b,9,2005,0.836
8200,650,15a,10,2005,0.82
8460,660,15b,10,2005,0.846
8000,580,15a,11,2005,0.8
7940,590,15b,11,2005,0.794
8060,630,15a,12,2005,0.806
7390,550,15b,12,2005,0.739
7860,670,15a,1,2006,0.786
8040,730,15b,1,2006,0.804
7270,850,15a,2,2006,0.727
